Place,Date,Designation,Review
"Carapicuíba, SP",2017-10-10,Professor de Inglês,Ótima escola para se dar aulas. Ótima localização.
"Jundiaí, SP",2017-10-10,Líder de Produção Jr,"empresa multinacional, com excelentes beneficios e oportunidades"
"Jundiaí, SP",2017-10-09,Auxiliar Administrativo,Grandes oportunidades de aprendizagemÓtimos benefíciosEmpresa multinacional
"Tijuana, B.C.",2017-10-04,tecnico de diagnostico y reparación,"Buena fábrica, lo malo es el bajo salario incluso para puestos altos y muy pocas probabilidades de ascender de puesto"
"Houston, TX",2017-10-04,Assembler,"i think its a good start for people with no responsiblities. it was temporary but most times i spent their, i would only wish i got paid more. its an unfair business"
Kutna Hora,2017-10-04,Quality engineer,"Foxconn Technology. Creating servers for big companies. Great place to work. Spent there almost 6 years on quality department. Nice people, nice benefits, nice environment."
"Jundiaí, SP",2017-09-28,Operador de Produção 1,os lideres sao injustos nao dao chance para o pessoal..mas local limpo e agradavel para se trabalhar
"Houston, TX",2017-09-24,forklift operator,"The work is self-paced in a clean environment. Opportunities for advancement is limited. Accuracy of work done by employee is critical. A ""team"" concept is necessary for job completion."
"Jundiaí, SP",2017-09-22,Analista de Recursos Humanos,"Boa empresa para se trabalhar, com bons benefícios."
"Houston, TX",2017-09-21,Assembler,Learned to assemble/disassemble and test chassis. Management are strict and pick favorites. People there are friendly and hard working people. Has little restaurant in company.
Jundiai-SP,2017-09-20,Operador de Produção 2,"sou dinâmica,tenho facilidade de aprender e gosto de trabalhar em grupo ,com facilidade de adaptação.Na foxconn trabalhei em varias funções;montava e desmontava placas de computador,trabalhei o setor de BGA.ambiente de trabalho muito agradavél,pessoas muito profissionais.Quando tinha um pedido grande era uma correria ,mas muito boml...trabalhavamos como equipe e tudo dava,certo! gostei muito de trabalhar nesta empresa."
"Jundiaí, SP",2017-09-20,Lider de Produção,A procura de solucionar e estar pronto para novo diaAprendizado mutuos em varios áreas trabalhadasSempre acompanhar ás orientações vinda da gerencia e direçãoSempe respeitar a cultura e o ambiente sempre transformar no melhor possivelO mais dificil do trabalho quando ás metas e objetivos não foram atendidoA mais agradavel atingir ás metas estabelicidas
"Houston, TX",2017-09-20,Assembler,The first six months was productive and enjoyable  because i was busy and we worked over time more than 20 hours .I don't  know the reason  the production decreased .
"Tarrant County, TX",2017-09-20,Technical Support Specialist,"Refurbished Computer.Installed software, modified and repaired hardware and resolved technical issues.Resolved problems with malfunctioning products."
"Ciudad Juárez, Chih.",2017-09-19,auditor interno de esd,*auditorias diarias para cuidar a personal que triga con sigo sus equipos de protección personal.*mediciones de áreas protegidas contra la electrostática.*impacientemente de formatos para áreas protegidas contra electrostática
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
Shenzhen China,2017-09-19,Quality Manager,"Very good investment for the equipment that used in Foxconn that I worked, so the mold and parts accuracy always can meet customer expectation. Fast reaction is another strong point."
新北市,2017-09-19,Senior Engineer,"本人自20081021到職來學習到非常多的寶貴經驗與技術,感謝彭協理與劉處長的提攜與指導.還有幾位部門同事(A,C,D,E,F,N,Z)互相鼓勵一起經歷工作的酸甜苦辣. 很難得遇到這麼好的工作環境,主管與如大哥大姐那樣的好同事. 可惜因為組織變化兩位長官都相繼退休離開,現在的組織劃分之後已經不如以往, 因此是本人該思考轉換跑道的時候了."
"Jundiaí, SP",2017-09-18,Operador I,"Um bom lugar para trabalhar, aprendi muito e adquiri uma otima experiencia, em uma área totalmente diferente das que eu já havia tido oportunidade de conhecer."
Bắc Ninh,2017-09-17,quan ly day chuyen Sx,noi chung moi thu thi ok nhung ve tg nghi valv thi ko tot
"Houston, TX",2017-09-16,Assembly Worker,"The Job is Okay as i learn how to work as a team. The management is well organized apart from Low income from the company, the management are well organized.  The hardest  part of the work is to check for quality after production and packaged when you . need to open it up and check for any scratch on the screen of Big Television set."
Pardubice,2017-09-14,analytik nákladů oddělení správy a údržby budov,"Vzhledem k faktu, že jsem již osmým rokem mimo firmu, nemohu hodnotit."
"Jundiaí, SP",2017-09-13,operador de manufatura,"Empresa ótima de se trabalhar , excelente equipe de planejamento"
"Indianapolis, IN",2017-09-12,Shipping Supervisor,"I was the Shipping supervisor, I supervised aprox 25 individuals to load 5 to 7 trucks to go out daily. Worked with Fed-ex and UPS to ship small on demand packages.  I enjoyed my team members and felt that I was respected by everyone."
"Tijuana, B.C.",2017-09-12,Confirmación de ópticos B1,Sé mira que está empresa es muy seria y enfocada en su labor
"Tijuana, B.C.",2017-09-10,operadora de produccion,Buen ambiente de trabajo.Compañeros hamables.Jefe amables
"Jundiaí, SP",2017-09-10,Operador Produção I,"Empresa com bons benefícios, Somente o horário de trabalho deixa a desejar."
"Louveira, SP",2017-09-09,Técnico de processos,Lugar bom os benefícios ótimos mas a gestão não sabia o que fazer esta perdido.
"Jundiaí, SP",2017-09-08,Operadora de Produção I,"E empresa é boa  pelo salário, benefícios! Mas sinceramente oportunidade ao funcionário deixa a desejar."
"Chennai, Tamil Nadu",2017-09-08,Production Engineer & Planner,"Too dependent on work, things will move as on the way, Breakdown corrections are lagging due to less skilled personals.. Very dependent works based on managers approval"
新北市,2017-09-04,經理,心有多大，舞台就有多大，具備企圖心、信心與決心，積極進取者定有所為，但是企業重視競爭，新血輪替加速中~
"Jundiaí, SP",2017-09-04,Qualidade,"Empresa boa de se trabalhar, com futuro, trabalho gostoso e nao cansativo."
"Indaiatuba, SP",2017-09-04,Engenheira da Qualidade,"Obtive muitas experiencias nessa empresa devido às oportunidades que foram confiadas a mim através do plano de carreira, pois iniciei na empresa como inspetora de linha de produção, passando pelos cargos de liderança, assistente, técnico, analista e engenheira.O ambiente era amigável e conciliador em todos os níveis hierárquicos.E sempre ofereciam benefícios."
"Jundiaí, SP",2017-09-04,Aux. Produção,"Fora área de produção  eu fica muito perto dos técnico e aprendi bastante coisas ,foi ai que  peguei a vontade de estudar MECATRÔNICA"
"Jundiaí, SP",2017-09-03,Técnico de Engenharia,Empresa muito boa de se trabalhar com ótimos profissionais que contribuíram para meu crescimento tanto profissional quanto pessoal.
"Jundiaí, SP",2017-09-01,Operadora de Produção I,"Empresa ótima, respeita seus funcionários. excelente no que faz, uma das melhores empresas que já trabalhei."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Indaiatuba, SP",2017-08-31,Operadora de Produção,trabalhei na montagem de celular e alimentação de linha de produção
Tencnico de reparacion,2017-08-30,Reparador de Tablillas Electrónicas,Buen trabajo sólo que son muy extrictos en el caso de las evaluaciones
"Plainfield, IN",2017-08-30,Picker/Packer,Get order ticket  go to location and pull order pull to the front break order down put on pallets band up orders then shrink wrap the load on truck to be shipped
"Fort Worth, TX",2017-08-29,System Developer,"For my department, the management is poorly so that our experienced coworkers are leaving. And they never try to solve your problem. And the manager will have a opinion on you if you don't work over time"
"Jundiaí, SP",2017-08-28,Operador de Produção I,Uma ótima empresa com oportunidade de crescimento profissional.
"Jundiaí, SP",2017-08-24,operado de produção,"aprendi muita coisa, nunca tinha trabalhado em produção, foi uma ótima experiência"
"São Paulo, SP",2017-08-24,Operador de Produção,E uma empresa muito boa.oferece uma refeição Boa. E tem gestores capacitados.
"Jundiaí, SP",2017-08-24,Engenheiro de Produto,Trabalhar em uma empresa multinacional Chinesa te faz crescer muito pelas metas e agilidade
"Ciudad Juárez, Chih.",2017-08-24,operador de produccion,"Es una empresa con buen ambiente de trabajo , buenas prestaciones, los horarios muy bueno , solo que si es muy dificil superarte o subir de puesto para las personas que somos estudiantes de licenciatura"
"Chennai, Tamil Nadu",2017-08-23,Logistics Supervisor,self confidence quick learner and I learn how work with safety & able to work supervision top management is good I am enjoy work with my friends  thank you
"Chihuahua, Chih.",2017-08-22,Operador de maquina,Mi primer trabajo en maquilladora excelente conocimiento
Jundiá sp,2017-08-22,Operadora de produção,Uma empresa muito boa para trabalhar salário  é benefícios  ótimos
"San Gerónimo, Chih.",2017-08-21,supervisor de almacen,es una empresa altamente certificada a nuvek mundial
"Jundiaí, SP",2017-08-21,Operador de Produção,"Ambiente tranquilo, com horários flexíveis ........"
"Jundiaí, SP",2017-08-21,Operador de Produção I,"uma empresa muito boa de se trabalhar, salário ótimo, convênio muito bom, fretado bom, um ambiente muito organizado e limpo, lugar com ambiente fresco pois possui ar condicionado. Porém algo que eles ainda tem que melhorar é a refeição comida não é muito boa."
"Chihuahua, Chih.",2017-08-21,Supervisor de almacén,Excelente compañia para crecer profesionalmente y desarrollo del personal.
"Jundiaí, SP",2017-08-20,operador de produção 1,Lugar maravilhoso de trabalhar não trocaria por nada
"Houston, TX",2017-08-19,Production Operator,"Very diverse and good people to work with, great working conditions; lots of overtime and understanding supervisors not too much pressure nor uncomfortable conditions"
"São Paulo, SP",2017-08-18,Auxiliar de Produção-CBA,Empresa com grandes oportunidades e reconhece o funcionario
"Houston, TX",2017-08-16,Purchasing Lead,Foxconn is a great working places to build up working experience and knowledge! Co-workers are friendly and a fun places to work at but can be stressful sometimes!
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2017-08-16,Producao,"Salário bom ,benefícios de acordo com o esperado, você concilia trabalho com vida social ."
Taipei,2017-08-15,Mobile Software Engineer,"Place I worked was a refurbishment of a factory where you were monitored by security guards while entering or exiting site. Don't forget that you need a manager approval when you have to temporarily leave site during work hours.You clock in/out though you are a software developer and they claim they honor duty-oriented management so they expect you fulfill your duties. Leaving the office at 6:00 pm makes you unusual among co-workers as they, including your managers, stay to until 8:00.I still remember that my leader warned me not to go to lunch alone at 11:30 am because there is an allotted time slot for my team, plus not moving together with the folks would make me a bad team player."
"Ciudad Juárez, Chih.",2017-08-14,jefe de grupo de almacen,"llegar y correr reportes de material disponible para dar a produccion e impresion de inventarios, asi como la asignacion de labores a cada almacenista.* revision de inventarios (discrepancias)"
Andhra Pradesh,2017-08-14,Quality Engineer,Foxconn is good company and good emplyees And free lunches and transport and good management more than 20000 employees people working here is company
Distrito,2017-08-14,Operador de produção,"Uma grande empresa ...Gostei muito do trabalho , saída por busca de novas oportunidades..."
"Houston, TX",2017-08-14,Trainer,Working here was a great experience and also with different work culture. I have learn to work as team. Met with many different people from different backgrounds.
"São Paulo, SP",2017-08-13,Lider de Produção,"Empresa super estável ótima para trabalho em equipe,somente tenho a agradecer a esta empresa."
"Ciudad Juárez, Chih.",2017-08-11,Capturista,"El avance laboral  es constantemente, buen trato para todos y cada uno de los que laboramos en esta empresa, se trabaja de manera equitativa, evaluaciones son en determinado tiempo, el cual cuenta con un lento proceso."
"Jundiaí, SP",2017-08-09,Aprendiz,"ambiente excelente, jornada, atividades, relacionamentos pessoais"
"Ciudad Juárez, Chih.",2017-08-09,Jefe de Trakers,"estaba muy lejos de mi casa y si por alguna razon no agarraba el camion de la empresa, no havia forma de llegar ya que no ay transporte publico para santa Teresa."
"Indaiatuba, SP",2017-08-08,operador de empilhadeira/assistente de inventário,Empresa agradável de trabalhar com muita cultura empresárial e motivacional para os colaboradores.
"Jundiaí, SP",2017-08-07,Técnico de Suporte Pleno,Aprendi muito na área de telefoniaAmbiente agradável de trabalho
bairro dos fernandes,2017-08-07,Lider de Produção,"todos os dias eram tipicos, aprendi muito nessa empresa, com cursos palestras tem uma gerencia muita boa,tendo um convivio agradavel e respeitoso com colegas de , trabalho.trabalhos em equipe,parte mais dificil quando havia dispensa e mais agradavel e de todos os dias ter contribuido e realizado nossa meta"
shenzhen,2017-08-07,Hardware Engineer,"You may not know Foxconn, but it's intimately acquainted with the thing vibrating in your pocket or purse. Foxconn International Holdings (FIH) provides technology design and manufacturing services, mainly to the wireless telecommunications industry."
"Jundiaí, SP",2017-08-07,Operador de Produção I,A empresa é ótima de trabalhar em termos de estruturas e o ambiente climático e em treinamentos de funcionários.
"Houston, TX",2017-08-06,Shipping and Receiving,Mucho trabajo un ambiente no muy tranquilo pero aprendí mucho manejo forklift empaco pallets etc
重庆市,2017-08-06,INDUSTRIAL ENGINEER-AUTOMATION,Foxconn giving me a good working experience and its giving good opportunity to learn Chinese and their culture.moreover it gives a very good opportunity to working in automation dept which my hobby and eager.
"Jundiaí, SP",2017-08-04,Inspetor de Qualidade,"Foxconn é uma das empresas que oferece muitos beneficios. Além de convênio médico e odontológico, tambem vale alimentação, participação de PPL, fretamento. A convivência com os colegas de trabalho é muito bom, nos comunicamos bastante um com os outros, auxiliando um aos outros. A carga horaria é bem puxado mas compensava porque tinhamos finais de semana livres e feriados."
"Indaiatuba, SP",2017-08-03,Operador de produção / Operador de Máquina,"Tive uma oportunidade muito grande nessa empresa onde entrei como ,auxiliar ,logo após fui promovida a operadora de máquina onde pude fazer cursos relacionados a vaga ."
"Manaus, AM",2017-08-02,Engenheiro de Segurança do Trabalho,Empresa sólida instalada em Manaus com políticas de meio ambientes e segurança do trabalho em fase de implantação.Coordenação e chefias preparadas para o suporte na implementação dos programas gerencias de ambas as áreas.Não há pontos relevantes a serem levantados no que tange a dificuldades para execução do trabalho. Empresa de espírito amigável para se trabalhar e fazer com que o profissional se desenvolva.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2017-08-01,Operador de Manufatura,"Empresa agradável de trabalhar, dinâmica e com bons profissionais."
"Indaiatuba, SP",2017-07-31,Assistente de Almoxarifado II,"Horário flexível, ótimos salários e benefícios. Valoriza os funcionários e investe em no crescimento dos seus colaboradores."
"Manaus, AM",2017-07-31,Operador de maquina multifuncional,"Boa empresa mais deixa a desejar, salários baixo sem muitos benefícios."
"Manaus, AM",2017-07-31,Operador de maquina multifuncional,"Media empresa, salário baixo e poucos benefícios. Mão de obra boa sem muitos esforços. E colaboradores trabalhavam sentados."
"Ciudad Juárez, Chih.sanjeronimo",2017-07-29,operador de produccion,Tiene un buen trabajo por que no es pesado.Subir de puesto rapido .Trabajo trankilo sin estar con prisa .Tiempo extra con buenos bonos en segundo turno.
"Jundiaí, SP",2017-07-28,Auxiliar Administrativo,Tive a oportunidade de conhecer muita gente e aprender muito neste trabalho.
"Jundiaí, SP",2017-07-27,Operador de Manufatura,"reconhecida mundialmente, excelência no que faz.ótima de se trabalhar"
"Indaiatuba, SP",2017-07-27,Operador de Máquinas,A Foxconn foi aonde aprendi todo roteiro de manutenção do principio
"Fort Worth, TX",2017-07-27,Industrial engineer,Work was great.They employ the most wonderful group of men and women from all over the world.I learned a lot about the iphone production environment.
"Indaiatuba, SP",2017-07-27,"Operador de Máquinas, inspeção","Aprendi o processo de montagem de uma placa de aparelho celular onde tive a oportunidade de aprender inspeção e operação de máquinas e montagem de setup e também trabalhar na área de distribuição de materiais .Empresa possuia muitos beneficios, um lugar muito agradavél de trabalhar."
"Ciudad Juárez, Chih.",2017-07-27,jefe de almacen,muy mala comida  megusta el ambiente de travajo era interensante
Pardubice,2017-07-27,technik údržby a revizní technik,práce na směny na údržběnaučil jsem se elektro revizeuspokojivéspolupracovníci dobří
"Jundiaí, SP",2017-07-26,Auxiliar Administrativo,"Otima empresa, otimos beneficios. porem pouca estabilidade na empresa."
"Jundiaí, SP",2017-07-26,Operador de Produção 1,"Uma empresa onde seus benefícios são muito bons, porém trabalhar todos os dias com receio de ser desligado da empresa era a apreensão de todos. A liderança tem seus destaques, os aparelhos produzidos tem mais importância do que a saúde de um funcionário. Ter que se adaptar com postos para não correr o risco de ser mandado embora. Mais agradável era as ""amizades feitas"" pois ajudam no apoio do trabalho."
El Lago,2017-07-25,Assistant Manager,"Buen ambiente, buena escuela, gastos médicos mayores"
"Indaiatuba, SP",2017-07-25,Inspetor de Qualidade,Foi para mim uma empresa onde obtive muitas oportunidades profissionais passei de operador de produção para inspetor de qualidade.Tive também a oportunidade de trabalhar com sistema logístico onde fiz a Faculdade de Logística.Me realizando assim profissionalmente.Trabelhei com pessoas acima de tudo comprometidas a atender as necessidades dos clientes.À chefia sempre incetiva os funcionários a estudarem fazer cursos.Não tive dificuldade em apreender ás operações a ser executadas .
"Ciudad Juárez, Chih.",2017-07-25,Jefe de Grupo de Cierre de Ordenes,"Es buen ambiente laboral, te pero no toma en cuenta los estudios que tenga la persona para vacantes a aplicar, difícilmente sube una persona por su estudio y conocimiento."
"Jundiaí, SP",2017-07-24,Operador de Produção,"empresa boa de trabalhar , só não tem oportunidade de crescimento"
"Judiaí, SP",2017-07-21,Operador de Produção,"Não tenho o que reclamar da Foxconn,  salvo a instabilidade."
"Fort Worth, TX",2017-07-21,Electronic Technician,Performed high quality repairs and refurbishment of cellphones.I learned to work with different phones such as iPhones Boost mobile phones. Working with the managers I had was a great experience I would definitely do it again.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Houston, TX",2017-07-20,Assembly Line Worker,I loved working at foxconn it was great in all ways the supervisor was always keeping the ployees on there toes .it was really clean so organized .the lunch break was awesome .great job!foxconn
"Chennai, Tamil Nadu",2017-07-20,"Assistant Manager business controller,",more then 14 years experience in accounts Salary cheching and more then 5 company salary preparing at brokers India group company .Etds preparation of 10 company brokers India companyHandle turnkey project at ecci contrition companyCustomer payment followupIn MNC working in 6 years experienceCost control and accounts
"Jundiaí, SP",2017-07-18,Auxiliar Administrativo,Pelo tempo que contribui e o tempo que pude crescer com ela... voltaria de novo
"Jundiaí, SP",2017-07-18,lider de qualidade,"empresa seria, remuneração justa, beneficios excelentes.trabalhei na area de qualidade com excelente suporte da gerencia, infelizmente saí por queda na produção."
"Jundiaí, SP",2017-07-18,Auxiliar em enfermagem do trabalho,"Empresa de grande porte, com clima agradável, tive grandes aprendizados, colegas de trabalho com boa convivência."
"Tijuana, B.C.",2017-07-17,Electronics Engineer,Foxconn es un buen lugar para iniciarse como ingeniero
"San Jose, CA",2017-07-17,anonymous,Super bad company cultureno respect to each otherno life and work balancesuper low salaryno promotionmanagers have no idea whats going onno future here
"AV: caminho de Goias ,100 Jundiai SP",2017-07-17,Técnico de processo,empresa Foxconn ! trabalhei cinco anos e meio no 2º turno manutenção corretiva e preventiva em fixtures Mecânico e Prensas Pneumáticas dando Suporte foi muito bom.
"Jundiaí, SP",2017-07-17,auxiliar de produção,"Empresa muito boa,mais com alguns contras líderes ñ estão preparados para trabalhar emequipe"
"Jundiaí, SP",2017-07-14,operador de producao,Boa empresa para trabalhar não tenho nada para me queixar
"Jundiaí, SP",2017-07-14,Operador de Produção I,"Uma empresa  muito  boa de se trabalhar, comvivenvia entre os funcionários  otimos."
"Jundiaí, SP",2017-07-13,0perador de produção 2,"Trabalho sobre pressão.gerência só vê o lado da empresa, sem se preocupar com seus funcionários.Não têm trabalho em equipe com os colegas de trabalho, pelo contrário , um querendo prejudicar o outro.O que agrada no trabalho , é o aprendizado para a vida e no trabalho em si."
"Jundiaí, SP",2017-07-13,Engenheiro de Processos,"Liberdade para realizar os trabalhos, porém com alto nível de responsabilidade por resultados entregues.Clima agradável com limitações."
"Jundiaí, SP",2017-07-13,Operador de Máquina,"Um local de trabalho onde fui incentivado a aprender novas tarefas e funções, e após pouco tempo, já operava a maioria das máquinas e puxava todas as linhas.A equipe de liderança era muito boa, e os colegas se relacionavam muito bem.Os benefícios eram ótimos, mas as refeições deixava, a desejar."
"Jundiaí, SP",2017-07-13,Operador de Produção,Uma empresa que tem ótimos benefícios. Pena que fiquei pouco tempo.
Engordadouro,2017-07-13,Assistente de Planejamento,A Foxconn foi uma casa pra mim...aprendi muitas coisas novas.
"Jundiaí, SP",2017-07-13,Operador de produção,"trabalhava com inspeção e reparo em tablet´s,trabalho excelente em equipe,empresa muito boa."
"Ciudad Juárez, Chih.",2017-07-11,Técnico de Reparación,"Es un trabajo que sirve como escuela para el que nunca ha trabajado, la administración solo te da largas para las evaluaciones y sin hablar de las promociones que como en muchos lados ya están apalabradas, lo único rescatado es el tiempo extra y los bonos que dan por esto."
"Intermex,cd juarez, chihuahua",2017-07-10,operador de produccion,"Trabajo justo y buena paga, muy internetsante  oportunidades de crecimiento."
"Jundiaí, SP",2017-07-10,Jovem Aprendiz Produtivo,"Foxconn, é uma empresa boa de se treabalhar, os horários são bons, os funcionários respeitosos."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
Distrito industrial,2017-07-07,auxiliar de manufatura,Foxconn e uma empresa aonde existe oportunidades de aprendizagem.   Foi ótimo fazer parte dessa empresa.
"Jundiaí, SP",2017-07-06,Operadora produção,"Empresa  muito boa de trabalhar , bem organizada e limpa"
"Tijuana, B.C.",2017-07-06,Entrenadora,"Un buen lugar para laboral, trabajo cómodo y con horarios buenos."
"Sao Paulo, Brazil",2017-07-03,Process Engineer,"Process Engineer - Responsible for the design of two mobile phone models.Main functions: define and train the production line operators, make continuous project improvements, track and improve production yield rate, status report, cost reduction."
"Jundiaí, SP",2017-07-03,auxiliar de produção,"A empresa foi muito boa, desde a entrevista até o desligamento. Havia um bom local de trabalho, líderes muito compreensivos, que se importavam com o bem-estar dos funcionarios!"
"Morrisville, NC",2017-07-02,Test Engineer Test support,Poor management communications and excruciating workplace demands. Nobody had a performance review or salary review during my service there. You never knew where you stood.
"Jundiaí, SP",2017-07-01,Operador de empilhadeira,"Empresa multinacional chinesa, onde não se tem muita oportunidade de crescimento, porém tem bastante benefício e muita oportunidade de aprender"
"Indaiatuba, SP",2017-06-30,operador de maquinas,Empresa dinamica e agradavel de trabalhar e flexivel comprometida com a qualidade dos produtos fabricados
"Houston, TX",2017-06-29,Server Repair Technician,I have no complaints from my time here. Expectations were met on both sides and compensation for the level of work received was fair. Solid job I would recommend to anyone interested in that field.
"Cupertino, CA",2017-06-28,Business Project Manager,"We usually need to work at least 10 hours per day and we sometimes have to work on weekends. The best part is that we are authorized to discuss and report directly to executives, but it comes with high pressure, too."
"Jundiaí, SP",2017-06-28,Controlador de Produção,Empresa muito boa e agradável.Fui dispensada por redução.
"Jundiaí, SP",2017-06-28,Operador de Produção,"As horas passavam muito rápido, foi a primeira empresa que trabalhei, aprendi muitas coisas a gerência estava sempre presente os colegas ajudavam demais, como foi meio primeiro trabalho eu ainda não estava acostumado com o horário mais o fato de estar trabalhando ajudou no meu desenvolvimento pessoal."
"Jundiaí, SP",2017-06-28,Jovem Aprendiz,"Ótima empresa para se trabalhar, ambiente de trabalho agradável e grandes oportunidades dentro da mesma."
"Ciudad Juárez, Chih.",2017-06-27,produccion,El trabajo es sencillo tanto para lineas de producción como supervisores e ingeneria
"Jundiaí, SP",2017-06-27,OPERADOR DE PRODUÇÃO I,"Trabalhava na linha de produção de eletrônicos.Ambiente organizado. Difícil a parte braçal, pois tinha alguns componentes pesados.Trabalho realizado sempre em equipe."
"Jundiaí, SP",2017-06-26,Operador de Produção I,"Uma empresa boa para se trabalhar,ambiente agradável,os benefícios bons"
"Jundiaí, SP",2017-06-26,Técnico de reparo pleno,Debug de placas de circuito impresso de celulares e notebooks.
"Jundiaí, SP",2017-06-25,operador de maquinas,"Eu adorava trabalhar na fox ,sai da empresa por não ter ninguém para deixar minha filha recém nascida o ambiente de trabalho era maravilhoso bem como meu relacionamento com colegas de trabalho e chefia ,trabalhei na produção operando máquinas e como selecionadora de peças."
"Jundiaí, SP",2017-06-25,Operador de produção,"Na foxcoon adquiri experiência em linha de montagem, trabalho em equipe,bons relacionamentos com líderes,gerência..."
Taiwan,2017-06-24,Engineer,"I belonged to GSOF (Global Security Of Foxconn) department, the first priority of our team is prevent any invasion. This job needs high keeping alert and caution."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Kutná Hora, Středočeský kraj",2017-06-23,"Test Technik(prace na PC , programova","Firmu Foxconn mohu jen a jen doporučit. Příjemné pracoviště s dobrým kolektivem. Jelikož je zde spoustu cizinců , Dobre se zde i učí anglicky jazyk . Za me foxconn super."
深圳市,2017-06-22,Contract Technical Editor,"There is a lot of in-office politics and professional jealousy. I met many nice people and had a good relationship with them, however the office politics were a little too much for me.  I did not like looking at confidential documents that had Chinese military connections."
"Indaiatuba, SP",2017-06-22,operador de maquinas smt,"Trabalho em equipe, uma empresa que acolhe muito bem seus colaboradores."
"Jundiaí, SP",2017-06-21,Auxiliar Administrativo,"Empresa muito boa para se trabalhar. Oferece vários benefícios ao colaboradores e ótimas condições de trabalho. Boa interação entre os colegas de trabalho com os demais departamentos. Direção e gerência atendem as suas solicitações quando necessária. Dia de trabalho como auxiliar administrativa é muito corrido desde o início da jornada de trabalho até o encerramento. Aprendi muito durante o meu período como funcionária, ganhei muitos amigos e um grande conhecimento profissional e pessoal."
"Jundiaí, SP",2017-06-20,operadora de produção,"uma otima empresa, lugar bom e agradável para se trabalhar com pessoas maravilhosas. tudo muito bem organizado"
Tijuana,2017-06-19,Accounts Receivable Supervisor,"Buen ambiente de trabajo, gran empresa, buenas prestaciones"
"JUNDIAI,SP",2017-06-17,OPERADOR(A) DE PRODUÇÃO II,"Tive a oportunidade de aprender em vários setores,incluindo promoções de cargo em um espaço curto de tempo ."
"Chennai, India",2017-06-17,"Assistant Engineer, Dept.: PCBA Testing",Full freedom in learning things under supervision. But the salary paid for the employees cannot be compared with any equivalent company. Shift timings are bad.
Houston Texas,2017-06-17,Facilities Maintenance,"Working at Foxconn was the best job I ever had. Although I only was hired on a mandatory job , I still made the best of it . I'm only familiar with the wear house and assembly line . I prefer the ware house ."
"Mumbai, Maharashtra",2017-06-14,Regional Manager Sales and Marketing,The days were very challenging in terms of setting up a new client base totally in India for a foreign brand. It was a great learning about Electronic Industry and the management was very supportive always.
"Tijuana, B.C.",2017-06-14,Lider de almacen,"El trabajo aunque cansado es satisfactorio, los horarios y metas establecidas no son muy pesadas. El orden y limpieza es ejemplar,sin descuidar la integridad de loa que laboran en dicho lugar"
"San Jose, CA",2017-06-13,Document Control Specialist,"Good benefits. But Not a good communication from the supervisers, not well work culture and not well team work. will not work again with that company."
"Houston, TX",2017-06-13,Certified QA/QC Inspector,Don't come to work in that place exept if you have no other option.That's the cheapest company and cheapest people i've never met ;starting sslsry is as low as texas minimum wage and you'll be stacked with that salary for ever
"Jundiaí, SP",2017-06-12,Técnico de Manutenção Elétrica,Empresa voltada na segurança de seus colaboradores em tempo integralMuito beneficioso....
"Tijuana, B.C.",2017-06-12,operador de produccion,Hay pocas y tardadas oportunidades de superacion laboral.
"Plainfield, IN",2017-06-11,IT Technician,i started there as a trainee and got certified in IT after 2years of consecutive training and was really grate.. so i decided to work with them as a trainner for 2 year ..
"Fullerton, CA",2017-06-08,Process Inspector / Technician,"Very bad salary, no benefits at all, I won't recommend this place to work."
"Jundiaí, SP",2017-06-07,auxiliar de produção,"Uma ótima empresa,aprendi várias  funções sobre celular   ambiente agradável de trabalhar  e colegas educados e compreensivos."
AV Caminho de goias,2017-06-07,Operador 1,"Empresa muito boa para trabalhar, beneficios, condições de trabalho!"
"Ciudad Juárez, Chih.",2017-06-06,capturista de datos,"Excelente convivencia en el área de trabajo, comprensión entre jefe y empleado.Lo que mas me agrado fue la cafetería."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Ciudad Juárez, Chih.",2017-06-05,empacador,"muy pesado, y malos supervisores, solo pensaban en ellos y hasta castigaban con la hora de comida"
